location,year,annual_temp,annual_hi,annual_prep
Abu Dhabi,2000,27.9,30.3,22.7
Abu Dhabi,2001,28.1,30.6,10.1
Abu Dhabi,2002,28.2,31.2,26.1
Abu Dhabi,2003,28.2,31.0,29.0
Abu Dhabi,2004,28.1,30.8,38.0
Abu Dhabi,2005,28.1,30.9,36.0
Abu Dhabi,2006,28.2,31.1,77.2
Abu Dhabi,2007,28.3,31.5,18.0
Abu Dhabi,2008,27.8,30.4,41.6
Abu Dhabi,2009,28.1,31.0,58.3
Abu Dhabi,2010,28.8,31.8,53.1
Abu Dhabi,2011,28.4,31.4,15.4
Abu Dhabi,2012,28.4,31.2,19.1
Abu Dhabi,2013,27.9,30.6,57.4
Abu Dhabi,2014,28.0,30.9,34.8
Abu Dhabi,2015,28.8,31.4,23.2
Abu Dhabi,2016,28.4,31.4,44.4
Abu Dhabi,2017,28.8,31.9,45.8
Abu Dhabi,2018,28.8,31.9,19.2
Abu Dhabi,2019,28.6,32.0,37.5
Abu Dhabi,2020,28.6,31.8,81.6
